source_image,cropped_image,ocr_zoom_image,crop_status,duplicate_of,reporting_marks,road_name,road_number,full_name,car_type,car_class,color,capy_lbs,ld_lmt_lbs,lt_wt_lbs,built,roster_id,roster_road,roster_length_ft,roster_weight_oz,roster_weight_tons,ocr_text,match_confidence,notes
IMG_9106.png,CarImagesCardFill/IMG_9106.png,OcrZoom/OCR_IMG_9106.png,ok,,N&W,N&W,32800,,Flatcar,F3,Black,54000,58600,61400,6-56,NW32800,NW,52,4.6,92,"; ‘ RA ~ 5 SY _ | , . TT] PW . SEBIEOMEY TIE-IN TAE AAA AE MC RW RE EN ON OE EEN A EAE EET SEI SS) GR ALLA NAR OI WN HT EEE NGW 82800 NORTOL A I ———| EA 67,4 AH SOA LP WT GLIOGD AND LD LMT 55600 NEW G-5OG “AU EY , | WESTERN Y OE IR AIE RR I ECO OE OS A BEA ER RE RY SE ER GQ ATE CEE MEM ANAE SOMA CE ES ER EC AR",visual_review,final_ref=CarImagesFinal/IMG_9106.png; N&W fish-belly flatcar
IMG_9107.png,CarImagesCardFill/IMG_9107.png,OcrZoom/OCR_IMG_9107.png,ok,,B&O,B&O,467439,,Boxcar,XM,Black,100000,122800,46200,6-47,BO467439,BO,40,3.8,76,"BALTIMORE & OHIO TO?439 CARY FOUUGO : LOBB] 1ESS0U VE YYY LI *’J 46,209 MT -2: 5) SBGAT WOALA LEY = SE ~ 2 1 —_ B A WEN ; ET _ 6 * ° 7 POT SE ERS = DENS = * RAS SOAR AREE T= - OE 4 AT? 4 ‘ OA CENA ‘. — = : — B- = “ SE EE NACH ""IS EEE EAE EO EEE PEA ENE | EA ST A OA WE PC OLS ERRR OS — EE EN ASE EE ~~ : SE = J BALTIMORE & OHIO SRNER SE : S Z . - . ~ ‘MENT 167439 ARIOND CARY 1G0GU0G0 IS —_ . EPBTDD ",visual_review,final_ref=CarImagesFinal/IMG_9107.png; B&O Time-Saver boxcar
IMG_9108.png,CarImagesCardFill/IMG_9108.png,OcrZoom/OCR_IMG_9108.png,ok,,B&O,B&O,466063,,Boxcar,XM,Gray,100000,124000,45000,8-45,BO466063,BO,40,3.8,76,"~~ _—— . A LI FI. AG H ES 7 EEE EE 6 POOR A AR AR RCRD BERRI ANC CERT BE CI DEERE ES I A TE SITE SE SEE TE ED EE ME A 5 A . . = WG ES —. AW V A NA OE EE BY) OE YL SE OR TE ET PE CADE, OR AE ERRNO? NW ES RAD TE PETA DEUS 5 OER TY RAE TARSAL AE RE, AK AR IQ CARE BEE RG WOR ED SHY EAE CE NE : OE SA BEUEN 7 BE AG II BY NF CI PE EE CE ETY DEES SKA SS, WENO -""S S ‘AS O F RC _- A SA AUT : SA —— IE X, - :",visual_review,final_ref=CarImagesFinal/IMG_9108.png; B&O Sentinel silver/black boxcar
IMG_9109.png,CarImagesCardFill/IMG_9109.png,OcrZoom/OCR_IMG_9109.png,ok,,B&O,B&O,467071,,Boxcar,XM,Black,100000,122800,46200,8-47,BO467071,BO,40,3.8,76,"| ES ; ; YI > ; JIS FI —— : ; . ; T = PANT T BALTIMORE & OHIO {OOF} CAPY JQGOGRO } ' PHAL STI $22800 A RI WL INEO MO 7 35 SIGAN AEATTONLEE —_— —_J SS | EEE A NNN =E EEE. EE EN, SEO” AE AA / . ‘ : FF THAS ; » I OE } ‘ + \ “SE NS) ; S X CE A BEE > — . — ——— BALTIMORE & OHIO A> SE, | . CAPY JAUOGO ‘ - - 4 YI WL {200 MIC 7 35 SJAAD EEGIHA DES AN PUTT TE > A AA RAE W | ‘I JT. IF YR I __ ’ ALL \, .",visual_review,final_ref=CarImagesFinal/IMG_9109.png; B&O Time-Saver boxcar
IMG_9110.png,CarImagesCardFill/IMG_9110.png,OcrZoom/OCR_IMG_9110.png,ok,,KSMX,KSMX,101,,Hopper,LO,Gray,140000,157500,52500,10-47,KSMX101,KSMX,34,3.3,66,"EE AE EE JAI. AT _ FEET EE | A| 1 EPORT) FLAND}| AN CARY 6% FLACOOO PR: “SS CI OS FAD LT.W. OG GE 62800 4 FRNEW 10-479, —=— | YN - 22 —O™™—™O—————OOE” RF | ' A A EL ED TEE EE EY : = A = ARR = SS SS EET = ""7 T » «TG % AE --¥ FF KE T S °3 . TI . : B |, KOSMOS FG +E 1K WD TE IWVE TE IF TY KOSMOS OO AI | TEPORTIILANDIE CEMIIENT [ICOMPIIANY IF) {IH “I . AH RE. : “N U -* . RIME 2 7 YE = 4 PH RA. RA ; A3",visual_review,Kosmos cement hopper; final_ref=CarImagesFinal/IMG_9110.png; Kosmos Portland cement hopper
IMG_9112.png,CarImagesCardFill/IMG_9112.png,OcrZoom/OCR_IMG_9112.png,ok,,B&O,B&O,8451,,Flatcar,,Black,140000,149000,61000,12-53,BO8451,BO,53,4.7,94,"EE AL 5 F ; É ‘ IH F] / F = 3 LY 3 E FOS ¢ 4 / F / I {R IA 13 SE ¢ 4 ° ° A - ~ — _ -_ = . Y EY PE ; J RY 7 EA 1 "" O 2 "" O - 2 = - . - = — A AIE EE EE, LA Y, G LOT PIG LE EEE / F | 1 | , 4 \ WEE \ ; ON OE : = PIAL = É F Z FY \ R. =. EE | FE VYV I LIU ; OY OO. ; OC ; IS ; = EEE EE LIVODE CO EO POL ' A ¢ } IO M3 & () & PAO L “ FR WI GLU NEM LE RO ' ~ U 4 TN 4 .",visual_review,final_ref=CarImagesFinal/IMG_9112.png
IMG_9113.png,CarImagesCardFill/IMG_9113.png,OcrZoom/OCR_IMG_9113.png,ok,,EL,EL,66410,,Boxcar,XM,Gray,100000,78400,98900,9-55,EL66410,EL,50,4.4,88,"A = -— "", — . = —_ 9 —<—~SE EE) TE ER ET > D - A 7 / WN AE X A Y —————_——— I ' : ' A ; ' I IL IV A ‘ ; L.-. ' E : A EE — 1 EE 4 . 1 : . FT ' 1 ‘ ' ‘ ' -- 4 ° . ' F ‘ . . ', 4 . 5 T EE I RE SN = AREAS NEE ER ‘SS TE ' | — . . ; ; N ‘ ‘ | ‘ ' : Y 4 — ' LE . | *E . 4 ; 1 F° : | | AAN] 1H R STEREE: AT OE ELE SS EET A EET EE =A = I ! RS = —"". - ¢ . ‘ A ~ —_—— - = A A NE AR EE EO BN) KK A . EES NE MET EE",visual_review,final_ref=CarImagesFinal/IMG_9113.png; Erie Lackawanna boxcar
IMG_9114.png,CarImagesCardFill/IMG_9114.png,OcrZoom/OCR_IMG_9114.png,ok,,UTLX,UTLX,32642,,Tank,,Black,100000,,50800,6-20,UTLX32642,UTLX,40,3.8,76,"A . COW 6 EE A TE TD ET OAL FANE ADEA TM GTA ME OT A =. > A .* I RE — , — ~~ — — IAL RE ; AD ~ NEE HE AT OT A NEE ET A A DD CY GH OT A — . *. » Q | 4 . : Y = : . OYE ' . - ' 3 ! - -* A) ~ U ) ’ LINN VA EE EE EE —— — SE ° : A. HD REE ‘A © SE — = “WE <= — A EA — - —— == — = EE ; —_ — —— — SPS, EE ME SAYE A . —_ EWE TIAN —— 2 — ATES —",visual_review,final_ref=CarImagesFinal/IMG_9114.png; Atlantic Refining tank
IMG_9115.png,CarImagesCardFill/IMG_9115.png,OcrZoom/OCR_IMG_9115.png,ok,,B&O,B&O,600409,,Hopper,LO,Gray,200000,204500,58500,8-66,BO600409,BO,40,3.8,76,"OS ~~ — _ —— = SEATS A. PY ERAT AOR LR ="" BE ""O™, = TE) - : - = E SETE OR %.: BOO 6 3 AS HY LS: SET * CAR EOLA OHO” AD |. AE REGI SSR EE I. AE IRE HY YEE = BAC SATIE 3 1 PEACE TEE EEAR MGA TE EN AT} THE 1 “A CER SEEK «°° NOTAS = YEE) EE RG SE IPRS EA: HE | ORS NY A ‘ K HEDD BANI RAO] - > AT * OY OES BATY - & BY SAIT A * AE «5 7= PS . EY) - IOE 4.2 FGE7 E'S SE 3! RET . 0 BERN POAT %. AES) AXE CAS F",visual_review,final_ref=CarImagesFinal/IMG_9115.png
IMG_9116.png,CarImagesCardFill/IMG_9116.png,OcrZoom/OCR_IMG_9116.png,ok,,B&O,B&O,600401,,Hopper,LO,Gray,200000,204500,58500,8-66,BO600401,BO,40,3.8,76,"A ONE SE —_S O~EEE —- - A ; _ SAI - SEE AE EEE NE F< A “ BENASSI EEE AE O-ER AGRA"" OS ALL TP TE RAY HT ""| WORE . EES AED ES ATTE PA TE LANT IE : '"" LETHLS 2, 5 } : . 5, TN ETA EK 7 2 ""SETE YES PE LTT ° ' WED. OIE CHET, FE: T WE: AS AA .2 2 EOS ON: FEES : 18) SEEDER EEE ESE: ‘AE, ” OO OP UE . REE ART WE R ? SYA AIS *T AS AE V . OW A FIONA PE EK IE ‘ OPE, AH EA - P AT SA EEE PTE TEG, >, AYE TT INS M",visual_review,final_ref=CarImagesFinal/IMG_9116.png
