"ID","Code","Description","Remarks"
0,"FA40","40 ft flat car with multi-level racks or decks for transporting vehicles","None"
0,"FA50","50 ft flat car with multi-level racks or decks for transporting vehicles","None"
0,"FA60","60 ft flat car with multi-level racks or decks for transporting vehicles","None"
0,"FB40","40 ft flat car with bulkheads at each end for transporting pulpwood","None"
0,"FB50","50 ft flat car with bulkheads at each end for transporting pulpwood","None"
0,"FB60","60 ft flat car with bulkheads at each end for transporting pulpwood","None"
0,"FC40","40 ft flat car with center beam section from end to end for transporting lumber","None"
0,"FC50","50 ft flat car with center beam section from end to end for transporting lumber","None"
0,"FC60","60 ft flat car with center beam section from end to end for transporting lumber","None"
0,"FD40","40 ft flat car with depressed center with head room for transporting tall loads","None"
0,"FD50","50 ft flat car with depressed center with head room for transporting tall loads","None"
0,"FD60","60 ft flat car with depressed center with head room for transporting tall loads","None"
0,"FG40","40 ft flat car for transporting of gun trucks or other heavy ordinance vehicles","None"
0,"FG50","50 ft flat car for transporting of gun trucks or other heavy ordinance vehicles","None"
0,"FG60","60 ft flat car for transporting of gun trucks or other heavy ordinance vehicles","None"
0,"FL40","40 ft flat car with either ordinary or skeleton frame for transporting logs","None"
0,"FL50","50 ft flat car with either ordinary or skeleton frame for transporting logs","None"
0,"FL60","60 ft flat car with either ordinary or skeleton frame for transporting logs","None"
0,"FM40","40 ft flat car with flooring laid over sills without sides or ends for general service","None"
0,"FM50","50 ft flat car with flooring laid over sills without sides or ends for general service","None"
0,"FM60","60 ft flat car with flooring laid over sills without sides or ends for general service","None"
0,"FT40","40 ft flat car for transporting TOFC trucks and/or trailer bodies","None"
0,"FT50","50 ft flat car for transporting TOFC trucks and/or trailer bodies","None"
0,"FT60","60 ft flat car for transporting TOFC trucks and/or trailer bodies","None"
0,"GA40","40 ft gondola with open top and solid sides and ends without doors","None"
0,"GA50","50 ft gondola with open top and solid sides and ends without doors","None"
0,"GA60","60 ft gondola with open top and solid sides and ends without doors","None"
0,"GC40","40 ft gondola with removable top and solid sides and ends without doors","None"
0,"GC50","50 ft gondola with removable top and solid sides and ends without doors","None"
0,"GC60","60 ft gondola with removable top and solid sides and ends without doors","None"
0,"GD40","40 ft gondola with open top and solid sides and ends with doors for dumping","None"
0,"GD50","50 ft gondola with open top and solid sides and ends with doors for dumping","None"
0,"GD60","60 ft gondola with open top and solid sides and ends with doors for dumping","None"
0,"HK34","34 ft hopper with open top and triple hopper, gravity dumping outside of rails","None"
0,"HK40","40 ft hopper with open top and triple hopper, gravity dumping outside of rails","None"
0,"HK50","50 ft hopper with open top and triple hopper, gravity dumping outside of rails","None"
0,"HM34","34 ft hopper with open top and twin hopper, gravity dumping inside of rails","None"
0,"HM40","40 ft hopper with open top and twin hopper, gravity dumping inside of rails","None"
0,"HM50","50 ft hopper with open top and twin hopper, gravity dumping inside of rails","None"
0,"HT34","34 ft hopper with open top and crosswise dump between rails","None"
0,"HT40","40 ft hopper with open top and crosswise dump between rails","None"
0,"HT50","50 ft hopper with open top and crosswise dump between rails","None"
0,"HA34","34 ft hopper with open top and bottom doors for gravity dumping inside of rails","None"
0,"HA40","40 ft hopper with open top and bottom doors for gravity dumping inside of rails","None"
0,"HA50","50 ft hopper with open top and bottom doors for gravity dumping inside of rails","None"
0,"HB34","34 ft hopper with open top and bottom doors for gravity dumping outside of rails","None"
0,"HB40","40 ft hopper with open top and bottom doors for gravity dumping outside of rails","None"
0,"HB50","50 ft hopper with open top and bottom doors for gravity dumping outside of rails","None"
0,"HC34","34 ft hopper with covered top and bottom doors for gravity dumping inside of rails","None"
0,"HC40","40 ft hopper with covered top and bottom doors for gravity dumping inside of rails","None"
0,"HC50","50 ft hopper with covered top and bottom doors for gravity dumping inside of rails","None"
0,"HP34","34 ft hopper with covered top and bottom doors for non-gravity pumping of load","None"
0,"HP40","40 ft hopper with covered top and bottom doors for non-gravity pumping of load","None"
0,"HP50","50 ft hopper with covered top and bottom doors for non-gravity pumping of load","None"
0,"RA40","40 ft refrigerator car with insulation and ice bunkers","None"
0,"RA50","50 ft refrigerator car with insulation and ice bunkers","None"
0,"RA60","60 ft refrigerator car with insulation and ice bunkers","None"
0,"RB40","40 ft refrigerator car with insulation and brine-tanks used for transport of milk or meats","None"
0,"RB50","50 ft refrigerator car with insulation and brine-tanks used for transport of milk or meats","None"
0,"RB60","60 ft refrigerator car with insulation and brine-tanks used for transport of milk or meats","None"
0,"RM40","40 ft refrigerator car with insulation and mechanical refrigeration","None"
0,"RM50","50 ft refrigerator car with insulation and mechanical refrigeration","None"
